Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

BAT99-95            084.640400  -69.080500  99.999  99.999  99.999  99.999  12.067  11.807  11.460  10.933  10.475  99.999  99.999  WN7 SB                          
BAT99-96            084.652100  -69.115800  99.999  99.999  99.999  99.999  12.091  11.826  11.472  11.068  10.796  99.999  99.999  WN8                             
BAT99-98            084.663600  -69.105800  99.999  99.999  99.999  99.999  99.999  11.820  11.458  11.008  10.648  10.519  99.999  WN6                             
BAT99-116           084.684500  -69.101500  99.999  99.999  99.999  99.999  12.056  11.789  11.539  11.260  10.903  10.819  99.999  WN5h:a                          
BAT99-117           084.697998  -69.007027  11.953  12.974  13.116  12.751  12.976  12.927  12.808  12.231  11.926  11.857  99.999  WN5ha                           
BAT99-118           084.722420  -69.033585  99.999  99.999  99.999  99.999  10.875  10.780  10.585  10.122   9.723   9.563   9.176  WN6h                                                    
BAT99-122           084.797211  -69.033775  12.323  13.114  13.066  99.999  12.130  11.875  11.617  11.176  10.879  10.674  99.999  WN5(h)                                            
BAT99-128           085.211670  -69.442169  14.965  15.549  15.718  15.494  15.009  14.867  14.570  13.960  13.453  13.262  99.999  WN3b                                  
BAT99-130           086.129295  -69.337639  11.946  12.835  12.719  12.260  12.235  12.084  11.843  11.483  11.250  11.109  10.865  WN11h                           
BAT99-131           086.223831  -67.176720  13.606  14.064  14.358  14.266  14.060  13.957  13.733  13.241  12.827  12.656  12.267  WN4b                            
BAT99-132           086.350670  -67.099114  14.221  14.641  14.722  14.371  13.839  13.629  99.999  12.755  12.261  12.101  11.629  WN4b(h)                         
BAT99-133           086.466377  -67.240524  10.870  11.779  11.884  11.931  12.032  12.003  11.898  11.547  10.998  11.007  99.999  WN11h                           
BAT99-134           086.693123  -67.166199  14.025  14.305  14.495  14.524  99.999  13.974  99.999  13.203  12.718  12.599  12.203  WN4b                            
