Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

LH31-1003           077.549332  -68.901337  14.003  13.724  13.186  12.527  11.927  11.631  11.581  11.501  11.506  11.403  11.147  O6 Ib(f)                        
BI 101              078.250458  -69.393471  99.999  99.999  99.999  99.999  13.551  13.572  13.629  13.643  13.624  13.671  99.999  O9 II                           
Sk -69 76           078.408043  -69.300278  10.727  11.418  11.075  11.838  12.264  12.347  12.347  12.345  12.237  12.108  99.999  O6.5 II(f)                      
BI 111              078.570747  -69.304527  12.103  13.144  13.216  13.433  13.539  13.583  13.618  13.681  13.669  13.453  99.999  O9 II                           
Sk -67 69           078.583626  -67.134224  11.950  13.012  13.040  13.330  13.465  13.536  13.611  13.518  13.565  13.511  13.567  O4 III(f)                       
Sk -69 83           078.623497  -69.495437  10.399  11.435  11.603  11.682  11.863  11.895  11.923  11.821  11.821  11.781  11.820  O7.5 Iaf                        
LH41-51             079.557503  -69.200302  11.318  12.111  12.330  12.707  12.607  12.593  12.655  12.671  12.696  12.641  99.999  O9.5 I                          
LH41-1012           079.569961  -69.251526  11.252  12.086  12.010  12.397  12.781  12.854  12.895  12.826  12.756  12.795  12.740  O9.5 I                          
LH41-58             079.598915  -69.183723  11.813  12.884  13.026  13.282  13.274  13.356  13.325  13.498  13.434  13.543  13.514  O8.5 III                        
LH41-16             079.640587  -69.255058  11.383  12.454  12.626  12.712  13.003  13.141  13.133  13.272  13.186  13.238  99.999  O8.5 III(f)                     
LH41-35             079.654915  -69.221557  12.133  13.224  13.396  13.534  13.813  13.932  13.962  14.013  14.065  99.999  99.999  O7 III(f)                       
LH41-34             079.676834  -69.215553  11.953  13.064  13.236  13.210  13.422  13.494  13.482  13.548  13.493  13.353  99.999  O6 III(f)                       
LH41-27             079.705956  -69.234833  11.703  12.774  12.936  99.999  13.017  13.090  13.033  12.983  12.912  12.599  99.999  O7.5 If                         
Sk -69 104          079.747833  -69.215217  99.999  99.999  99.999  99.999  12.539  12.624  12.699  12.627  12.599  12.568  99.999  O6 Ib(f)                        
LH41-32             079.757790  -69.218498  11.773  12.904  13.086  13.132  13.474  13.596  13.613  13.611  13.578  13.630  99.999  O4 III                          
Sk -69 107          079.824043  -69.653946  99.999  99.999  99.999  99.999  11.755  11.788  11.871  11.878  11.847  11.916  11.996  O9.5 Ib                         
Sk -65 42           079.829834  -65.866524  12.742  13.703  13.866  14.163  14.350  14.436  14.514  14.561  14.518  14.662  99.999  O8 III                          
Sk -65 47           080.227791  -65.455078  11.451  12.270  12.466  12.741  12.849  12.897  12.908  12.930  12.860  12.861  12.681  O4 If                           
LH47-58             080.451584  -67.939529  13.195  14.062  14.312  14.097  14.102  14.065  14.108  14.018  13.982  13.528  99.999  O9.5 III                        
LH47-191            080.499374  -67.960243  11.773  12.877  12.864  13.014  13.305  13.391  13.268  13.700  99.999  99.999  99.999  O5 III(f)                       
LH48-65             080.556167  -67.893944  11.905  11.951  12.615  12.955  13.112  13.146  13.201  13.008  12.912  12.951  99.999  O9 III                          
Sk -71 19           080.565628  -71.360916  13.153  14.031  14.227  14.436  14.611  14.829  14.881  14.865  14.852  14.786  99.999  O6 III SB:                      
Sk -68 72a          080.694710  -68.065422  12.191  12.464  12.946  12.996  12.994  12.980  12.975  12.953  12.912  12.889  99.999  O9 II                           
Sk -69 124          081.326042  -69.053200  11.583  12.664  12.826  12.791  13.129  13.202  13.267  13.248  13.182  13.197  13.251  O9.7 I                          
Sk -67 101          081.484375  -67.508003  99.999  99.999  99.999  99.999  13.000  13.064  13.105  13.188  13.204  13.181  13.321  O8 II((f))                      
Sk -67 108          081.610252  -67.622337  99.999  99.999  99.999  99.999  12.989  12.992  13.075  13.104  13.104  13.100  13.068  O4-5 III                        
LH58-161            081.616959  -68.828277  14.007  15.161  15.247  15.544  15.735  15.869  15.842  15.989  16.005  99.999  99.999  O9.5 III                        
LH58-419            081.668251  -68.854057  11.513  12.544  12.716  12.920  13.203  13.287  13.293  13.518  13.489  13.476  13.339  O9.5 III                        
LH58-470            081.677414  -68.847221  13.149  13.963  14.111  14.370  14.645  14.681  14.715  14.872  14.873  14.981  99.999  O7 III/V                        
BI 170              081.698707  -69.103332  11.823  12.914  13.116  12.975  13.465  13.522  13.582  13.498  13.510  13.446  99.999  O9.5 I                          
Sk -67 111          081.700332  -67.491608  99.999  99.999  99.999  99.999  12.945  13.013  13.028  12.983  12.948  12.898  12.902  O6 Ia(n)fp var                  
LH58-699            081.723709  -68.819260  11.813  12.874  13.076  13.409  13.712  13.799  13.895  13.875  13.893  13.992  99.999  O7 III                          
BI 173              081.791420  -69.132362  99.999  99.999  99.999  99.999  13.235  13.310  13.351  13.296  13.278  13.241  13.060  O8.5 II(f)                                     
Sk -67 119          081.919044  -67.302864  99.999  99.999  99.999  99.999  13.706  13.798  13.859  13.786  13.720  13.764  13.804  O7 III (f)                      
Sk -67 120          081.921501  -67.456665  99.999  99.999  99.999  99.999  12.723  12.777  12.846  12.842  12.835  12.588  99.999  O8 III:                         
Sk -66 100          081.939377  -66.920914  12.227  12.976  13.204  13.501  13.687  13.735  13.836  13.884  13.805  13.823  99.999  O6 II(f)                        
Sk -71 33           082.085915  -70.989555  12.816  13.735  13.726  13.521  13.432  13.349  13.076  12.635  12.445  12.169  11.904  O9 Ve (Fe II)                   
Sk -69 152          082.162499  -69.153114  99.999  99.999  99.999  99.999  12.132  12.191  12.256  12.116  12.107  12.063  12.068  O9 Ia                           
