Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

LH58-828            081.758499  -68.772476  13.650  14.706  14.769  15.053  15.206  15.189  15.324  15.402  15.394  99.999  99.999  B2 V                            
lmc1-408            082.304542  -71.099640  14.937  15.726  15.892  16.116  16.358  16.500  16.548  16.646  16.501  99.999  99.999  B1 V                            
NGC2004-077         082.320579  -67.342728  14.131  14.942  15.074  15.395  15.549  15.746  15.541  15.696  15.857  99.999  99.999  B0.5 V                          
NGC2004-104         082.411499  -67.202110  14.559  15.222  15.315  15.581  15.717  15.795  15.934  15.879  15.920  99.999  99.999  B1.5 V                          
lmc1-1044           082.436706  -70.916336  12.798  13.609  13.826  13.968  14.147  14.199  14.177  14.031  13.904  13.699  99.999  B0 V                            
lmc1-233            082.442169  -71.156143  13.119  13.765  13.782  99.999  13.662  13.658  13.654  13.579  13.584  13.764  99.999  B0 V                            
lmc1-246            082.446831  -71.150139  14.475  15.179  15.139  14.851  14.614  14.427  14.215  13.748  13.527  13.307  99.999  B1: V                                   
lmc1-548            082.465752  -71.068527  99.999  16.183  15.911  99.999  99.999  99.999  99.999  15.837  15.746  99.999  99.999  B1.5 V                          
lmc1-249            082.479538  -71.149666  14.121  14.901  14.983  15.068  15.141  15.182  15.300  15.055  15.035  99.999  99.999  B1 V                            
Sk -71 35           082.517456  -71.132309  12.009  12.894  12.811  13.038  99.999  13.224  13.202  12.837  12.740  12.686  99.999  B1.5 V                          
NGC2004-105         082.542503  -67.311752  14.591  15.288  15.368  15.608  15.758  15.838  15.970  15.933  15.920  99.999  99.999  B1.5 V                          
NGC2004-069         082.550629  -67.172134  14.203  14.891  15.111  15.316  15.533  15.647  15.771  15.741  15.831  99.999  99.999  B0.7 V                          
lmc1-402            082.581169  -71.101974  14.752  15.531  15.623  15.679  15.521  15.474  99.999  15.584  15.412  99.999  99.999  B0 V                            
NGC2004-082         082.584877  -67.348724  14.394  15.085  15.198  15.484  99.999  99.999  99.999  15.780  15.817  99.999  99.999  B1.5 V                          
lmc1-1052           082.592125  -70.910087  14.339  14.703  14.902  15.108  15.294  15.360  15.356  15.430  15.327  99.999  99.999  B0.5 V                          
NGC2004-066         082.615753  -67.289665  14.142  14.926  15.082  15.374  15.583  15.896  15.608  15.796  15.924  99.999  99.999  B1.5 Vn                                  
BI 184              082.627747  -71.042114  13.033  13.830  13.926  13.954  13.974  13.919  13.762  13.548  13.420  13.333  99.999  B0.5 V                          
lmc1-702            082.646706  -71.032478  14.037  14.870  14.930  14.809  14.782  14.663  14.524  14.097  13.885  13.801  13.347  B1 Ve                           
lmc1-715            082.652916  -71.028641  13.878  14.642  14.835  14.994  15.227  15.284  15.384  15.477  15.475  99.999  99.999  B0.5 V                          
NGC2004-053         082.682457  -67.256279  13.837  14.797  14.906  15.117  15.368  15.523  15.646  15.604  15.604  99.999  99.999  B0.2 Ve                         
NGC2004-095         082.746750  -67.258804  14.504  15.166  15.304  15.530  15.581  15.810  15.827  15.725  15.786  99.999  99.999  B1.5 V                          
NGC2004-087         082.755295  -67.335754  14.396  15.057  15.171  15.411  15.475  15.682  15.631  15.632  15.604  99.999  99.999  B1.5 V                          
lmc1-226            082.797165  -71.158142  14.427  15.136  15.318  15.528  99.999  99.999  99.999  15.862  15.856  99.999  99.999  B1 V                                       
NGC2004-038         082.842247  -67.294197  13.590  14.369  14.556  14.793  14.980  15.104  15.239  15.148  15.106  99.999  99.999  B0.7 V                          
lmc1-1027           082.851707  -70.934753  14.222  14.811  15.000  15.191  15.364  15.482  15.418  15.545  15.626  99.999  99.999  B1 V                            
lmc1-1015           082.892212  -70.940445  13.657  14.266  14.437  14.574  14.791  14.925  15.029  14.988  14.998  15.109  99.999  B1 V                            
lmc1-938            082.921127  -70.961578  14.265  14.866  15.060  15.236  15.495  15.610  15.608  15.611  15.765  99.999  99.999  B1 V                            
lmc1-930            082.957878  -70.964775  13.067  13.742  13.906  14.145  13.966  13.782  13.837  14.658  14.723  14.362  13.411  B0.5 V                                       
LH72-L49            083.054169  -66.417496  13.267  14.042  14.202  14.309  14.361  14.411  14.456  14.405  14.324  99.999  99.999  B0.2 V                          
LH72-L22            083.075417  -66.479774  12.862  13.638  13.908  14.111  14.251  14.035  14.320  14.518  14.499  14.449  12.994  B0 V                            
BI 216              083.713455  -66.929108  14.003  14.652  14.872  15.156  15.242  15.477  15.537  15.545  15.583  99.999  99.999  B0.5 V                                               
Sk -68 124          083.869919  -68.639305  12.791  13.634  13.757  13.738  13.789  13.785  13.814  13.790  13.803  13.801  13.572  B0.5 V                          
[ST92]3-1           083.882294  -68.997551  14.504  15.135  15.073  15.027  14.979  14.938  15.060  15.063  15.048  99.999  99.999  B1 V                            
[ST92]3-2           083.888748  -68.990303  16.625  17.144  16.995  16.720  99.999  99.999  99.999  16.347  16.357  99.999  99.999  B2 V                            
LH89-26             083.889916  -68.976280  14.105  14.738  14.733  14.613  14.670  14.708  14.703  14.719  14.633  14.662  99.999  B0 V                            
[ST92]3-5           083.894081  -68.980499  16.891  17.448  17.231  17.082  16.870  16.665  99.999  16.753  16.764  99.999  99.999  B3 V                            
[ST92]3-10          083.909126  -69.000557  15.048  15.656  15.614  15.515  15.451  15.449  15.348  15.545  15.438  99.999  99.999  B0.5 V                          
[ST92]3-11          083.915497  -68.988914  15.705  16.315  16.262  16.324  16.164  16.125  15.898  16.271  16.065  99.999  99.999  B2 V                            
[ST92]3-13          083.917580  -68.976250  99.999  99.999  99.999  99.999  15.357  14.603  14.376  14.181  14.419  14.316  99.999  B0.5 V                          
[ST92]3-14          083.919372  -68.975387  15.406  15.835  16.413  15.349  15.238  15.014  14.798  14.350  14.164  14.085  99.999  B1 V                            
[ST92]3-15          083.920959  -69.000832  15.217  15.883  15.870  15.948  16.127  15.823  16.111  16.230  16.328  99.999  99.999  B1 V                            
[ST92]3-17          083.922584  -68.991081  16.410  17.027  16.909  16.636  16.284  15.863  15.549  15.501  15.615  99.999  99.999  B1 V                            
