Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

LH31-1010           077.488747  -68.903503  12.926  14.035  14.067  14.475  14.577  14.756  14.691  14.869  14.826  14.520  99.999  O8 V                            
BI 94               077.601753  -69.114250  12.753  13.654  13.840  14.019  13.994  14.033  14.101  14.113  14.073  14.321  99.999  O7 V((f))                       
BI 97               078.069710  -67.434166  12.975  13.890  13.966  14.084  14.221  14.321  14.272  14.336  14.286  14.383  99.999  O9 V                            
Sk -71 16           079.439087  -71.244499  13.022  13.802  13.990  14.211  14.474  14.524  14.585  14.641  14.681  99.999  99.999  O9 V                            
BI 127              079.474625  -69.140083  12.895  13.946  14.017  14.501  99.999  14.720  99.999  14.802  14.770  99.999  99.999  O6.5 V SB:                                        
BI 130              079.524956  -69.242966  11.343  12.424  12.586  13.365  12.909  12.958  13.006  12.959  12.912  12.940  13.074  O8.5 V((f))                     
LH41-10             079.554421  -69.263916  12.293  13.384  13.586  13.627  14.058  14.149  14.262  14.241  14.228  14.394  99.999  O8.5 V                          
BI 128              079.582375  -65.820724  12.796  13.447  13.745  14.055  14.234  14.379  14.398  14.423  14.440  14.271  99.999  O9 V                            
LH41-57             079.612999  -69.188057  12.293  13.324  13.496  13.505  13.794  13.877  13.883  13.929  13.880  14.183  99.999  O9.5 V                          
Sk -69 102          079.676712  -69.236305  10.983  12.084  12.266  12.828  13.212  13.306  13.360  13.433  13.379  99.999  99.999  O8 V                            
Sk -65 44           080.076874  -65.402252  12.599  13.414  13.643  13.868  14.020  14.107  14.092  14.220  14.207  14.140  99.999  O9 V                            
LH43-2              080.214455  -65.469307  13.325  14.114  14.359  14.619  14.864  14.946  14.980  15.043  14.911  15.130  99.999  O8 V                            
LH43-1007           080.393456  -65.487106  13.561  14.285  14.467  14.611  14.791  14.775  14.822  14.764  14.672  14.388  99.999  O9 V                            
LH47-14             080.431000  -67.918526  14.115  15.083  15.232  15.538  15.744  15.821  15.827  15.718  15.824  99.999  99.999  O9.5 V                          
LH47-47             080.447792  -67.927994  12.546  13.350  13.543  13.728  13.926  13.886  14.045  13.996  13.991  14.069  99.999  O9.5 V                          
