Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

Sk -66 35           074.268501  -66.577385  10.652  11.494  11.587  99.999  11.722  11.738  11.717  11.620  11.571  11.534  11.467  BC1 Ia                          
N11-070             074.269211  -66.406197  14.076  14.523  14.696  14.727  14.713  14.743  14.726  14.812  14.878  99.999  99.999  B3 III                          
Sk -68 11           074.270126  -68.402946  11.254  12.232  12.195  11.988  12.396  12.424  12.416  12.255  12.237  12.155  11.975  B0.5 Ia                         
LH12-22             074.277916  -68.409782  13.063  13.976  14.036  14.206  14.315  14.388  14.396  14.484  14.522  99.999  99.999  B0.5 III                        
LH12-24             074.281998  -68.416557  13.618  14.523  14.601  14.776  99.999  99.999  99.999  15.148  14.884  99.999  99.999  B1.5 III                        
Sk -68 12           074.283539  -68.420082  10.319  11.480  11.132  99.999  11.427  11.444  11.410  11.261  11.232  11.180  11.217  B2 Ia                           
N11-001             074.286873  -66.390305  10.475  11.373  11.265  99.999  11.104  11.075  10.973  10.923  10.801  10.683  99.999  B2 Ia                                       
Sk -68 14           074.320000  -68.410972  10.492  11.303  11.286  10.699  10.945  10.860  10.785  10.653  10.523  10.479  99.999  B2 Ia                                 
N11-009             074.323669  -66.442085  12.309  12.759  12.875  11.895  12.685  12.691  12.640  12.584  12.554  12.578  12.651  B3 Iab                          
N11-054             074.326378  -66.433220  13.361  14.065  14.107  14.098  14.080  14.080  14.110  14.071  14.043  14.114  99.999  B1 Ib                                          
N11-015             074.342003  -66.407639  12.126  12.869  12.963  12.898  13.094  13.069  13.106  13.111  13.063  12.953  99.999  B0.7 Ib                         
N11-110             074.404625  -66.395744  14.396  15.057  15.187  15.054  15.086  15.081  15.027  14.932  14.974  99.999  99.999  B1 III                          
N11-036             074.420830  -66.498993  12.877  13.577  13.803  13.845  13.937  13.956  14.007  14.082  14.091  14.022  99.999  B0.5 Ib                         
Sk -69 52           074.453705  -69.872917  10.469  11.392  11.399  11.468  11.569  11.566  11.600  11.477  11.409  11.403  11.326  B2 Ia                           
Sk -69 51           074.460747  -69.685890  11.493  12.494  12.596  12.371  12.729  12.794  12.817  12.751  12.725  12.759  12.721  B1.5 I:                         
Sk -70 22           074.514122  -70.608635  12.795  13.781  13.819  14.121  14.302  14.316  14.351  14.342  14.321  14.252  14.233  B1 Iab                          
Sk -70 25           074.582459  -70.217941  99.999  99.999  99.999  99.999  13.328  13.365  13.441  13.433  13.430  13.394  13.332  B1.5 II                         
Sk -67 28           074.663498  -67.188530  11.340  12.082  12.269  12.228  12.561  12.600  12.632  12.531  12.529  12.509  12.523  B0.7 Ia                         
Sk -65 3            074.687080  -65.060562  99.999  99.999  99.999  99.999  13.497  13.546  13.624  13.579  13.604  13.541  13.431  B2 III                          
Sk -67 29           074.712044  -67.444588  12.483  13.524  13.666  13.794  14.008  14.075  14.159  14.128  14.134  14.110  13.942  B0 III                          
Sk -65 7            074.783333  -65.583611  12.184  13.151  13.272  13.589  13.778  13.833  13.910  13.954  13.898  13.923  13.682  B2 III                          
Sk -65 9            074.800957  -65.809112  11.636  12.548  12.599  12.994  13.133  13.214  13.282  13.248  13.180  13.173  13.208  B0 Ib                           
BI 50               074.813332  -65.889747  12.749  13.582  13.699  13.964  14.082  14.214  14.205  14.327  14.164  14.336  99.999  B1 Ib                           
BI 53               074.815712  -69.715355  13.083  13.944  14.066  14.263  14.400  14.446  14.485  13.718  13.568  13.548  13.464  B0 III                          
Sk -65 11           074.847626  -65.697754  11.022  11.604  11.743  11.654  11.707  11.742  11.735  11.649  11.626  11.598  11.629  B8 Ia                           
Sk -65 12           074.866836  -65.604973  12.727  13.555  13.671  13.974  14.068  14.106  14.157  14.222  14.231  14.296  99.999  B1 Iab                          
Sk -65 14           074.903877  -65.564949  11.584  12.503  12.599  12.840  12.987  13.000  13.100  13.104  13.073  13.005  13.057  B0 II                           
Sk -65 15           074.922379  -65.830551  11.288  12.008  12.203  12.312  12.420  12.415  12.420  12.400  12.362  12.318  12.334  BC2 Iab                         
Sk -65 16           074.934456  -65.748772  11.334  12.030  12.241  12.338  12.357  12.421  12.367  12.147  12.042  11.905  11.708  B1.5 Ia                         
Sk -65 18           075.027000  -65.760834  99.999  99.999  99.999  99.999  10.869  10.877  10.833  10.780  10.713  10.696  10.676  B9 Ia                           
Sk -68 23a          075.201164  -68.099586  12.033  13.024  13.106  13.049  13.200  13.206  13.196  13.181  13.191  13.192  13.286  B1 III                          
Sk -68 23           075.206123  -68.119362  99.999  99.999  99.999  99.999  12.188  12.082  11.974  11.840  11.798  11.757  11.700  B3 I                            
Sk -65 20           075.306206  -65.810951  99.999  99.999  99.999  99.999  11.230  11.242  11.242  11.176  11.118  11.125  11.081  B3 Ia                           
Sk -67 36           075.344124  -67.336113  11.042  11.910  11.962  12.024  12.134  12.146  12.193  12.181  12.124  12.082  12.107  B2.5 Ia                         
Sk -68 26           075.384331  -68.178581  10.822  11.728  11.443  99.999  11.343  11.265  11.251  11.111  11.004  11.004  10.869  BC2 Ia                          
Sk -65 23           075.475456  -65.628387  12.632  13.456  13.612  13.955  14.087  14.209  14.258  14.284  14.340  14.252  99.999  B2 III                          
Sk -70 44           075.535294  -70.665504  11.396  11.934  12.084  12.046  12.202  12.184  12.154  12.058  12.058  12.069  12.054  B5 Iab                                 
Sk -66 50           075.786751  -66.959694  10.023  10.511  10.658  99.999  10.480  10.445  10.403  10.255  10.240  10.221  10.173  B8 Ia+                          
Sk -70 47           075.847038  -70.347527  99.999  99.999  99.999  99.999  13.340  13.409  13.423  13.397  13.360  13.396  13.350  B0 II                           
Sk -70 48           075.873253  -70.699837  10.979  11.509  11.704  11.501  11.699  11.699  11.644  11.566  11.560  11.518  11.481  B2.5 Ia                         
Sk -70 50           075.941208  -70.199310  99.999  99.999  99.999  99.999  11.222  11.267  11.217  11.212  11.166  11.158  11.118  B3 Ia                           
Sk -70 51           075.972916  -70.232582  99.999  99.999  99.999  99.999  11.853  11.879  11.848  11.736  11.664  11.631  11.585  B2 Ia                           
Sk -68 35           076.120377  -68.437752  12.388  13.113  13.299  13.541  13.816  99.999  13.862  13.942  13.867  13.785  99.999  B1 III                          
Sk -68 38           076.176666  -68.076531  12.251  13.026  13.382  15.423  13.539  13.588  13.697  13.727  13.698  13.916  99.999  B0 Ib                           
Sk -68 39           076.209045  -68.131226  11.068  11.988  12.039  11.980  12.059  12.022  11.975  11.846  11.808  11.738  11.708  B2.5 Ia                         
Sk -70 65           076.296333  -70.437363  12.513  13.474  13.596  13.623  99.999  13.873  99.999  13.894  13.920  13.952  13.954  B0 III                          
Sk -68 40           076.313294  -68.037247  10.810  11.721  11.460  11.725  11.744  11.760  11.785  11.653  11.631  11.565  11.556  B2.5 Ia                         
Sk -68 41           076.362961  -68.167389  10.855  11.868  11.999  12.086  12.233  12.298  12.239  12.271  12.270  12.233  12.261  B0.5 Ia                         
Sk -68 45           076.530334  -68.118393  10.782  11.888  12.007  12.136  12.360  12.419  12.440  12.372  12.352  12.359  12.391  B0 Ia                           
Sk -70 78           076.566834  -70.493248  10.291  11.044  11.159  11.443  11.495  11.548  11.563  11.435  11.389  11.339  11.362  B0.7 Ia                         
Sk -67 45           076.578583  -67.696442  12.117  12.894  12.782  13.020  13.135  13.137  13.181  13.084  13.083  13.078  13.062  B2 II                           
Sk -70 79           076.655289  -70.490051  11.703  12.704  12.766  12.723  12.747  12.743  12.761  12.675  12.613  12.599  12.537  B0 III                          
BI 78               076.690002  -70.405586  12.673  13.664  13.796  13.834  13.979  14.078  14.071  14.066  14.099  14.057  99.999  B1 Ib                           
BI 74               076.716377  -68.429581  13.053  13.772  13.956  14.284  14.469  14.579  14.634  14.686  14.713  14.936  99.999  B3 II                           
Sk -71 7            076.737747  -71.222809  12.040  12.748  13.052  12.963  13.172  13.224  13.190  13.241  13.198  13.171  13.192  B1 I                            
Sk -67 46           076.756622  -67.624916  11.406  12.228  12.339  12.436  12.548  12.612  12.609  12.539  12.541  12.436  12.464  B1.5 I                          
Sk -68 52           076.835083  -68.535721  10.593  11.581  11.646  11.709  11.736  11.751  11.754  11.649  11.639  11.577  11.521  B0 Ia                           
BI 81               076.866836  -70.510330  13.188  14.104  14.119  14.044  14.054  13.973  13.868  13.558  13.368  13.217  12.856  Be (Fe II?)                     
Sk -71 8a           076.878212  -71.147804  11.663  12.357  12.374  12.656  13.045  13.086  13.081  13.132  13.094  13.090  13.077  B1 Ib                           
Sk -71 9            076.897789  -71.207527  11.869  12.198  12.943  12.586  12.899  13.000  13.043  12.948  12.957  12.920  12.919  B0 II                           
Sk -71 11           076.915497  -71.026894  11.681  12.477  12.621  12.695  12.961  12.994  12.948  12.936  12.903  12.826  12.844  B0.5 I                          
Sk -69 65           077.051788  -69.231613  11.793  12.654  12.726  12.436  12.755  12.811  12.928  12.800  12.819  12.772  12.856  B2.5 I/II                       
Sk -71 13           077.350166  -71.350387  13.022  13.662  13.832  99.999  14.279  14.385  14.450  14.450  14.440  14.608  99.999  Be (Fe II)                      
Sk -68 58           077.438294  -68.769417  99.999  99.999  99.999  99.999  12.069  12.064  12.049  11.825  11.690  11.352  99.999  B3 Iab                          
Sk -68 59           077.471085  -68.927193  11.041  11.971  11.916  11.874  11.815  11.746  11.741  11.587  11.560  11.590  99.999  B0.7 Ia+                        
Sk -69 68           077.495041  -69.117172  11.703  12.634  12.616  12.717  12.551  12.531  12.532  12.389  12.341  12.271  12.163  B1 II                           
Sk -67 52           077.527122  -67.236694  12.305  13.232  13.291  13.387  13.413  13.426  13.484  13.518  13.459  13.402  13.303  B0 I                            
Sk -67 54           077.715752  -67.173996  11.725  12.668  12.680  12.929  12.982  13.082  13.107  13.153  13.137  13.164  13.164  B1.5 I:                         
Sk -67 57           077.967003  -67.166031  11.933  12.732  12.220  11.518  10.748  10.225  10.056   9.904  10.023   9.945   9.861  B2 III                          
Sk -67 58           078.071167  -67.323975  10.671  11.328  11.366  10.989  11.138  11.147  11.130  11.068  11.002  11.011  10.951  B3 Ia                           
Sk -65 38           078.088249  -65.426247  12.537  13.379  13.565  13.850  13.955  13.990  13.994  14.074  14.094  13.875  99.999  B1.5 III                        
Sk -65 39           078.229416  -65.096527  99.999  99.999  99.999  99.999  14.388  14.495  14.603  14.589  14.522  14.532  99.999  B2 II                           
BI 103              078.284752  -69.301140  13.349  14.093  14.060  14.029  14.163  14.187  14.170  14.243  14.213  14.114  99.999  B2 Ia                           
LH39-3              078.366043  -69.519974  12.949  13.557  13.603  13.507  13.705  13.743  13.703  13.752  13.752  13.740  99.999  B1 III                          
Sk -69 75           078.378250  -69.539917  10.227  10.735  11.123  10.715  10.450  10.380  10.264   9.523   9.401   9.296   9.160  B8 I                            
LH39-9              078.449623  -69.539276  13.430  14.171  14.233  14.268  14.597  14.663  14.695  14.731  14.718  14.748  99.999  B1 III                          
LH39-16             078.497086  -69.529701  13.024  13.813  13.867  13.977  14.399  14.411  14.461  14.464  14.419  14.576  99.999  B0.5 III                        
Sk -67 66           078.507919  -67.330971  10.749  11.566  11.499  11.485  11.481  11.530  11.525  11.456  11.424  11.379  11.344  B5 Ia                                                 
LH39-21             078.555084  -69.556778  13.202  14.107  14.099  14.003  99.999  14.550  14.464  14.398  14.301  14.229  99.999  B1 IIIe                         
Sk -69 82           078.631538  -69.231499  10.388  11.013  11.053  99.999  10.724  10.714  10.668  10.611  10.594  10.583  10.583  B8 Ia                           
BI 110              078.723877  -65.310585  13.145  13.897  14.110  14.288  14.559  14.624  14.693  14.704  14.718  14.550  99.999  B1 III                          
Sk -70 84           079.056877  -70.574638  11.713  12.714  12.816  12.833  13.113  13.129  13.184  13.210  13.163  13.201  13.199  B0.5 I                          
S93                 079.132500  -68.369255  12.537  12.747  12.617  12.501  12.221  11.714  10.519   8.272   7.498   6.826   5.997  B9[e] Ib                        
Sk -70 85           079.273460  -70.323051  11.243  12.344  12.376  12.431  12.545  12.509  12.582  12.484  12.417  12.427  12.417  B0 I                            
Sk -69 89           079.323082  -69.778923  10.211  11.999  11.428  11.474  11.431  11.429  11.415  11.343  11.334  11.288  11.233  B2.5 Ia                         
LH41-48             079.522751  -69.205917  11.703  12.774  12.946  13.820  13.356  13.420  13.454  13.498  13.499  13.391  99.999  B1 III                          
LH41-44             079.526832  -69.210083  12.073  13.114  13.286  13.344  13.626  13.705  13.802  13.799  13.776  13.941  99.999  B1 III                          
R86                 079.545754  -69.218719  99.999  99.999  99.999  99.999  11.610  11.756  11.637  11.934  11.853  11.821  11.811  B0.2 I                          
LH41-1011           079.546501  -69.217445  99.999  99.999  99.999  99.999  12.400  12.530  12.570  12.847  12.819  12.862  99.999  B0.2 I                          
LH41-1006           079.550209  -69.217560  10.365  11.489  11.281  99.999  11.971  12.048  11.975  12.116  12.054  12.020  12.070  B0.5 I                          
LH41-47             079.561081  -69.216133  12.539  13.505  13.505  13.807  14.075  14.185  14.195  14.298  14.295  14.157  99.999  B0.2 III                        
Sk -69 97           079.575043  -69.763527  12.003  12.934  12.916  13.295  12.740  12.730  12.562  12.389  12.295  12.162  11.996  B2 I                            
LH41-38             079.640915  -69.216782  12.686  13.614  13.606  14.028  14.113  14.193  14.171  14.261  14.164  99.999  99.999  B1 III                          
LH41-61             079.644211  -69.174995  12.233  13.294  13.426  13.635  13.579  13.595  13.548  13.548  13.544  13.578  99.999  B0.2 III                        
Sk -65 40           079.715584  -65.689583  11.187   9.484   9.984  99.999  11.865  11.927  11.905  11.842  11.840  11.811  11.802  B3 Ia                           
LH41-69             079.715874  -69.201660  11.763  12.764  12.946  12.584  13.515  13.670  13.686  13.744  13.724  13.485  99.999  B0 III                          
BI 141              079.765877  -69.637917  11.380  12.026  12.722  12.737  12.269  12.263  12.273  12.299  12.163  99.999  99.999  B3 Iab                          
Sk -65 41           079.772545  -65.667610  12.471  11.406  12.150  12.948  13.019  13.085  13.074  13.104  13.083  13.085  12.975  B2 III                                   
BI 142              079.882957  -66.638718  13.095  13.983  14.017  14.151  14.259  14.340  14.392  14.383  14.292  14.399  99.999  B1 Ib                           
Sk -67 76           080.023834  -67.352974  11.575  12.542  12.589  12.845  12.932  12.952  12.975  12.953  12.877  12.865  12.751  B0 I                            
Sk -67 78           080.079498  -67.301590  99.999  99.999  99.999  99.999  11.423  11.452  11.378  11.307  11.266  11.237  11.217  B3 Ia                           
Sk -69 110          080.140541  -69.543197  99.999  99.999  99.999  99.999  11.774  11.667  11.677  11.579  11.576  11.557  11.487  B3 Ia                           
Sk -69 111          080.217751  -69.546555  99.999  99.999  99.999  99.999  12.063  12.089  12.089  11.957  12.007  11.943  99.999  B2.5 Ia                         
Sk -65 50           080.301170  -65.497109  12.272  13.014  13.174  13.348  13.508  13.578  13.584  13.621  13.612  13.586  13.554  B1.5 I                          
BI 146              080.376663  -67.543968  13.635  14.367  14.482  14.745  14.899  15.024  15.087  15.109  15.182  14.945  99.999  B3 II                           
Sk -67 81           080.406502  -67.103943  10.788  11.617  11.427  11.600  11.535  11.532  11.534  11.471  11.433  11.434  11.398  B5 Ia                           
Sk -67 83           080.460167  -67.887108  12.181  12.705  13.056  13.267  13.354  13.362  13.374  13.370  13.347  13.295  99.999  B0.5 III                        
LH47-230            080.514038  -67.945915  13.262  14.140  14.373  14.560  14.544  14.536  14.513  14.042  13.885  13.773  99.999  B1 III                          
LH47-237            080.516205  -67.924583  11.981  11.547  12.781  12.835  12.947  12.987  12.933  13.014  13.013  99.999  99.999  B0.5 I                          
LH47-265            080.525207  -67.934387  13.370  14.219  14.368  14.166  13.674  13.592  13.347  12.959  12.803  12.663  99.999  B1 IIIe                         
LH47-419            080.590332  -67.931305  13.174  14.004  14.023  14.053  14.322  14.360  14.371  14.286  14.304  14.502  99.999  B1.5 III                        
Sk -71 23           080.713295  -71.717865  10.887  11.430  11.476  99.999  11.673  11.623  11.635  11.513  11.456  11.455  11.429  B3 Iab                          
Sk -67 90           080.752747  -67.189476  99.999  99.999  99.999  99.999  11.499  11.479  11.510  11.502  11.472  11.420  11.410  B1 Ia                           
Sk -67 91           080.810959  -67.434502  99.999  99.999  99.999  99.999  12.145  12.183  12.169  12.097  12.103  12.115  12.125  B8-9 I                          
BI 153              080.842331  -67.143417  99.999  99.999  99.999  99.999  13.856  13.897  13.950  13.998  13.945  13.974  99.999  B2 II                           
Sk -66 78           080.876541  -66.703163  11.463  12.164  12.391  11.241  12.461  12.572  12.544  12.523  12.463  12.409  12.382  B1.5 I                          
Sk -69 120          081.088707  -69.712441  11.474  13.294  12.638  13.069  13.197  13.219  13.217  13.256  13.206  13.225  12.986  B0 I                            
Sk -66 87           081.273292  -66.810478  12.889  13.566  13.804  13.932  14.047  14.118  14.151  14.137  14.148  14.140  13.967  B2 III                          
Sk -67 100          081.412209  -67.316696  99.999  99.999  99.999  99.999  12.128  12.161  12.165  12.175  12.181  12.121  12.144  B1 Ia                           
Sk -67 102          081.503792  -67.052811  12.363  13.394  13.606  13.633  13.890  14.020  14.116  14.172  14.145  14.053  99.999  B2 III SB:                      
Sk -71 30           081.549210  -71.561310  11.087  11.435  11.609  11.204  11.402  11.360  11.382  11.321  11.272  11.285  11.207  B5 Ia                           
Sk -66 93           081.586624  -66.515747  12.478  13.348  13.299  13.741  13.753  13.837  13.857  13.873  13.902  13.846  99.999  B0 Ib                           
LH58-100            081.601914  -68.784721  12.630  13.617  13.628  13.283  13.020  12.833  12.734  12.411  12.300  12.135  99.999  B0.5 Ib/II                      
LH58-454            081.674210  -68.803169  12.602  13.708  13.735  14.110  14.313  14.423  14.478  14.503  14.515  14.090  99.999  B0 III                          
Sk -67 112          081.735336  -67.659721  99.999  99.999  99.999  99.999  12.282  12.352  12.338  12.359  12.331  12.302  12.318  B0.5 Ia                         
Sk -70 90a          081.785377  -70.501946  12.930  13.633  13.606  13.764  13.806  13.838  13.886  13.817  13.832  13.767  13.697  B5 II                           
S35                 081.824333  -66.368225  12.458  13.239  13.056  12.484  12.417  11.897  10.801   8.568   7.795   7.128   6.217  B1[e] Iab                       
Sk -67 116          081.835541  -67.214386  10.884  10.612  11.361  99.999  11.345  11.370  11.344  11.325  11.280  11.279  11.281  B3 Ia                           
Sk -69 139          081.847542  -69.014221  12.046  10.005  11.950  10.189  11.848  11.867  11.853  11.769  11.719  11.715  11.652  B2.5 Ia                         
Sk -68 84a          081.861794  -68.901199  11.663  12.674  12.766  12.266  12.875  12.982  12.933  12.936  12.903  12.881  12.929  B1 Ib                           
Sk -69 143          081.973373  -69.032921  99.999  99.999  99.999  99.999  10.401  10.377  10.229  10.088   9.992   9.981   9.919  B7 Ia+                          
Sk -67 123          081.983002  -67.256889  12.313  13.234  13.366  13.213  13.601  13.627  13.669  13.621  13.586  13.563  99.999  B2 III                          
