Name                  RAJ2000     DEJ2000    Umag    Bmag    Vmag    Imag    Jmag    Hmag    Ksmag   [3.6]   [4.5]   [5.8]   [8.0]  Class                           
                        deg         deg       mag     mag     mag     mag     mag     mag     mag     mag     mag     mag     mag                                   

BAT99-126           085.031456  -69.408859  12.043  13.014  13.166  13.205  13.119  13.093  12.940  12.601  12.209  12.108  11.724  WN4b+O8: SB??
BAT99-129           085.452100  -70.591800  13.570  14.522  14.701  14.834  14.660  14.552  14.496  14.278  13.904  13.737  13.408  WN3(h)a+O5V SB EB  
BAT99-10            074.144295  -66.473999  99.999  99.999  99.999  99.999  99.999  99.999  99.999  11.891  11.973  11.841  11.556  WC4(+O9.5II:)                   
BAT99-28            079.818085  -69.655556  11.193  11.754  12.213  11.953  12.286  12.270  12.011  11.827  11.508  11.406  11.010  WC4 +O5-6V-III(+O) SB2                                  
BAT99-38            081.516502  -67.499191  99.999  10.859  11.621  99.999  11.764  11.615  10.972   9.228   8.594   8.160   7.669  WC4 [+O8I:] SB1                 
BAT99-39            081.626083  -68.840973  99.999  10.355  10.704  99.999  12.747  12.807  12.718  12.685  12.422  12.302  12.029  WC4 +O6V-III(+O) SB2  
N11-119             073.956039  -66.434303  14.014  15.215  15.137  15.424  15.489  15.624  15.693  15.820  15.765  99.999  99.999  B1.5 V Binary (SB2)    
N11-124             074.077621  -66.476997  14.425  15.174  15.377  15.600  15.650  15.818  16.003  15.960  15.993  99.999  99.999  B0.5 V Binary (SB1)      
N11-118             074.184586  -66.384666  14.408  15.099  15.222  15.361  15.512  15.412  15.688  15.520  15.543  99.999  99.999  B1.5 V Binary (SB1)  
N11-062             074.230621  -66.550507  13.338  14.142  14.274  14.415  14.560  14.612  14.646  14.595  14.612  14.884  99.999  B0.2 V Binary (SB1)   
N11-067             074.263878  -66.502251  13.559  14.317  14.550  17.929  14.795  14.853  14.933  14.907  14.992  99.999  99.999  B0.5: Vn Binary                 
N11-064             074.297791  -66.371887  13.601  14.266  14.627  14.646  14.791  14.842  14.938  14.749  14.836  99.999  99.999  B0.2: Vn Binary     
MACHO6.5730.3092    078.922920  -70.077499  14.605  15.447  15.439  15.912  15.818  15.926  16.017  16.018  16.054  99.999  99.999  B1 V + B2 V  
MACHO80.7438.42     081.589996  -69.095833  15.233  15.826  16.028  15.785  15.855  15.551  15.508  15.477  15.563  99.999  99.999  B2 V + B2 V 
NGC2004-072         082.460419  -67.252891  14.348  14.944  15.100  15.382  15.597  15.630  15.648  15.639  15.673  99.999  99.999  B1.5 V Binary (SB1)      
